,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
61,Frank Lickliter II,95,71.137,284.2,65.64,65.15,0.227,-0.139,0.088,"2,350",,,2007,"$584,084 ",USA
62,Fred Funk,65,70.55,271.8,75.26,61.75,0.265,-0.053,0.211,"4,626",2,1,2007,"$1,239,376 ",USA
63,Freddie Jacobson,70,70.259,284.7,63.62,66.19,0.66,0.353,1.012,"4,540",5,,2007,"$1,469,541 ",SWE
64,Gavin Coles,87,71.245,268.3,70.27,62.58,0.34,-0.626,-0.286,"2,174",2,,2007,"$511,353 ",AUS
65,Geoff Ogilvy,84,70.085,295.3,59.02,62.75,0.072,0.749,0.821,"13,390",7,,2007,"$2,943,203 ",AUS
66,George McNeill,95,70.991,298.2,59.84,63.43,0.487,-0.213,0.274,"3,524",2,1,2007,"$1,504,627 ",USA
67,Glen Day,85,71.172,280.7,70.42,64.33,0.063,-0.238,-0.175,"1,672",,,2007,"$397,491 ",USA
68,Greg Owen,81,72.086,296.5,64.08,68.14,-0.848,-0.066,-0.915,"1,321",1,,2007,"$426,601 ",ENG
69,Harrison Frazar,88,71.569,302.8,55.07,63.63,-0.439,0.011,-0.429,"2,710",2,,2007,"$698,534 ",USA
70,Heath Slocum,101,69.948,279.6,73.28,66.45,0.22,0.659,0.879,"9,132",6,,2007,"$2,184,379 ",USA
71,Henrik Stenson,52,70.935,296.3,56.97,61.23,0.3,-0.012,0.288,"6,948",2,1,2007,"$1,897,554 ",SWE
72,Hunter Mahan,91,69.99,296.7,68.05,66.91,0.213,0.419,0.632,"13,380",6,1,2007,"$2,858,995 ",USA
73,Ian Poulter,63,70.073,282.5,63.23,61.67,-0.038,0.958,0.92,"6,884",5,,2007,"$1,431,390 ",ENG
74,J.B. Holmes,71,71.377,312.6,58.7,64.57,-0.559,0.223,-0.336,"3,035",3,,2007,"$874,216 ",USA
75,J.J. Henry,86,70.506,294.4,63.96,66.67,0.024,0.45,0.473,"3,624",2,,2007,"$1,088,660 ",USA
76,J.P. Hayes,89,71.065,291.9,61.26,62.92,-0.002,0.297,0.295,"2,767",3,,2007,"$890,815 ",USA
77,Jaco Van Zyl,51,72.691,285.3,68.61,63.95,-0.418,-0.723,-1.141,224,,,2007,"$53,763 ",RSA
78,Jarrod Lyle,77,71.142,292.6,60.84,64.61,0.149,0.021,0.17,869,,,2007,"$390,303 ",AUS
79,Jason Bohn,57,70.614,287.1,65.2,65.01,-0.185,0.534,0.348,"2,334",,,2007,"$527,512 ",USA
80,Jason Dufner,100,71.154,289.7,60.74,65.06,-0.089,0.077,-0.012,"2,530",1,,2007,"$574,992 ",USA
81,Jason Gore,86,70.969,303,63.33,65.57,0.1,0.108,0.208,"4,483",3,,2007,"$1,105,985 ",USA
82,Jason Schultz,63,71.69,295.7,60.61,62.24,0.022,-0.495,-0.474,504,,,2007,"$163,244 ",USA
83,Jeff Brehaut,59,71.754,291.2,66.04,65.11,-0.25,-0.397,-0.647,711,,,2007,"$202,389 ",USA
84,Jeff Gove,103,71.146,290.5,65.67,70.17,-0.774,0.812,0.038,"1,763",1,,2007,"$526,644 ",USA
85,Jeff Maggert,79,71.195,284.2,65.73,66.53,-0.066,0.019,-0.047,"3,304",1,,2007,"$845,585 ",USA
86,Jeff Overton,60,70.339,299.3,63.66,68.87,0.06,0.822,0.882,"2,977",3,,2007,"$1,009,630 ",USA
87,Jeff Quinney,95,71.112,281.5,65.99,65.61,0.067,-0.104,-0.037,"6,160",5,,2007,"$1,612,056 ",USA
88,Jeff Sluman,60,71.758,280.5,59.41,61.01,-0.313,-0.335,-0.648,"1,030",1,,2007,"$273,192 ",USA
89,Jerry Kelly,101,70.313,281,68.28,64.83,-0.227,0.848,0.621,"8,259",7,,2007,"$1,978,034 ",USA
90,Jesper Parnevik,88,70.629,288.5,62.31,66.53,0.979,-0.375,0.604,"1,976",1,,2007,"$1,075,216 ",SWE
91,Jim Furyk,84,69.474,279.7,74.37,69.44,-0.083,1.202,1.119,"19,214",8,1,2007,"$4,154,046 ",USA
92,Jim Rutledge,59,72.679,288.5,67.27,64.24,-0.425,-1.042,-1.466,178,,,2007,"$62,242 ",CAN
93,Joe Durant,88,71.038,284.3,73.71,68.52,-0.901,0.88,-0.021,"2,500",,,2007,"$723,599 ",USA
94,Joe Ogilvie,102,70.761,289.5,61.23,61.68,0.351,0.073,0.425,"4,311",2,1,2007,"$1,339,153 ",USA
95,Joey Sindelar,75,71.664,287.1,65.29,66.67,-0.102,-0.171,-0.273,"1,160",,,2007,"$310,717 ",USA
96,John Daly,59,71.927,312.9,41.86,61.3,-0.297,-0.478,-0.775,"1,081",,,2007,"$248,501 ",USA
97,John Mallinger,96,71.085,280.9,69.91,62.96,0.068,-0.068,0,"5,888",4,,2007,"$1,681,764 ",USA
98,John Merrick,92,71.265,297.1,61.41,69.13,-0.409,0.385,-0.025,"2,358",1,,2007,"$649,438 ",USA
99,John Rollins,102,70.419,290.4,64.81,63.64,0.104,0.413,0.517,"10,577",4,,2007,"$2,488,891 ",USA
100,John Senden,97,70.566,294.2,65.91,70.33,-0.25,0.778,0.528,"6,268",5,,2007,"$1,899,558 ",AUS
101,Johnson Wagner,97,71.144,285.5,64.18,67.75,-0.229,0.424,0.195,"2,420",2,,2007,"$1,013,024 ",USA
102,Jonathan Byrd,73,70.488,292,59.84,63.55,0.296,0.213,0.51,"9,969",4,1,2007,"$1,854,906 ",USA
103,José Coceres,50,70.737,273,75.47,61.96,-0.283,0.245,-0.038,"4,980",3,,2007,"$1,287,843 ",ARG
104,José María Olazábal,52,71.521,276,50.5,54.33,0.481,-0.945,-0.464,"3,202",1,,2007,"$979,249 ",ESP
105,Justin Leonard,95,70.527,282.7,70.05,64.8,0.124,0.393,0.517,"3,998",5,1,2007,"$2,079,248 ",USA
106,Justin Rose,63,69.301,288.7,63.93,65.73,0.061,0.816,0.878,"12,682",7,,2007,"$2,705,875 ",ENG
107,K.J. Choi,87,69.611,284.1,64.71,65.29,0.518,0.874,1.392,"21,750",7,2,2007,"$4,587,859 ",KOR
108,Ken Duke,112,70.628,288.4,67.5,65.58,0.1,0.439,0.539,"6,656",5,,2007,"$1,927,102 ",USA
109,Kenny Perry,83,70.369,299.6,64.61,67.54,-0.337,0.981,0.643,"5,550",3,,2007,"$1,197,618 ",USA
110,Kent Jones,97,71.162,287.1,68.46,66.95,-0.141,0.317,0.175,"1,196",2,,2007,"$651,108 ",USA
111,Kevin Na,84,70.884,287.4,62.64,61.97,0.348,-0.027,0.321,"3,362",3,,2007,"$856,669 ",USA
112,Kevin Stadler,95,71.895,292.9,60.27,65.57,-0.75,0.05,-0.7,"3,055",2,,2007,"$810,876 ",USA
113,Kevin Sutherland,85,70.747,291.3,60.62,65.49,-0.023,0.082,0.059,"6,278",3,,2007,"$1,351,942 ",USA
114,Kirk Triplett,77,71.818,277.5,70.39,65.58,-0.595,0.01,-0.584,"1,033",,,2007,"$316,034 ",USA
115,Kyle Reifers,71,72.407,296.3,59.15,64.49,-0.322,-0.442,-0.764,897,,,2007,"$276,369 ",USA
116,Lee Janzen,66,71.715,288,59.06,64.32,-0.226,-0.382,-0.609,"1,694",,,2007,"$409,189 ",USA
117,Lucas Glover,98,70.417,295.4,64.14,66.27,0.113,0.619,0.731,"7,729",3,,2007,"$1,664,167 ",USA
118,Luke Donald,69,70.118,278.4,68.15,63.18,0.438,0.489,0.927,"9,075",5,,2007,"$2,190,053 ",ENG
119,Marco Dawson,73,71.336,289.8,59.84,63.62,0.103,-0.107,-0.004,"1,669",1,,2007,"$521,432 ",USA
120,Mark Brooks,53,71.783,275.2,72.81,64.85,-0.211,-0.5,-0.712,489,,,2007,"$162,839 ",USA
121,Mark Calcavecchia,93,70.579,290.2,65.09,64.11,-0.213,0.717,0.504,"16,285",6,1,2007,"$2,993,332 ",USA
122,Mark Hensby,81,71.408,287,63.45,63.37,0.204,-0.47,-0.267,"1,561",1,,2007,"$969,731 ",AUS
123,Mark Wilson,87,70.57,285.3,67.1,64.86,0.024,0.443,0.467,"6,888",3,1,2007,"$1,637,112 ",USA
124,Mathew Goggin,97,70.703,298.7,67.36,68.84,-0.018,0.365,0.347,"2,468",1,,2007,"$969,488 ",AUS
125,Mathias Grönberg,95,71.214,301.5,59.7,64.5,-0.004,0.001,-0.003,"1,515",2,,2007,"$785,180 ",SWE
126,Matt Hendrix,63,72.369,301.7,62.63,64.94,-0.339,-0.878,-1.217,238,,,2007,"$108,269 ",USA
127,Matt Kuchar,85,70.703,277.1,66.2,64.95,0.041,0.369,0.41,"3,915",2,,2007,"$886,146 ",USA
128,Michael Allen,74,71.077,293,64.31,66.59,-0.035,0.129,0.094,"1,279",2,,2007,"$1,016,952 ",USA
129,Michael Boyd,61,72.095,278.7,74.34,63.06,0.072,-0.933,-0.861,294,,,2007,"$126,839 ",USA
130,Michael Putnam,96,71.215,294.5,59.97,67.03,-0.166,-0.009,-0.175,"1,791",,,2007,"$422,359 ",USA
131,Michael Sim,52,71.219,291.1,61.92,64.53,0.298,-0.258,0.04,"1,144",1,,2007,"$399,900 ",AUS
132,Mike Weir,82,70.151,289.3,63.82,63.03,-0.294,1.005,0.711,"4,003",4,1,2007,"$1,986,053 ",CAN
133,Nathan Green,103,70.644,284.3,61.8,61.9,0.241,0.022,0.263,"6,767",2,,2007,"$1,380,317 ",AUS
134,Nick O'Hern,72,70.63,279.3,62.68,60.21,-0.057,0.227,0.17,"5,330",3,,2007,"$1,342,391 ",AUS
135,Nick Watney,87,70.789,301.4,61.02,66.48,-0.198,0.454,0.256,"6,881",3,1,2007,"$1,838,629 ",USA
136,Padraig Harrington,64,69.822,293.2,57.52,60.3,0.26,0.666,0.926,"10,208",3,1,2007,"$2,658,283 ",IRL
137,Parker McLachlin,83,71.516,288.5,57.01,60.55,0.419,-0.763,-0.344,"1,307",1,,2007,"$627,582 ",USA
138,Pat Perez,84,70.051,296.6,61.13,65.49,0.09,0.24,0.33,"6,820",6,,2007,"$1,678,295 ",USA
139,Paul Gow,70,72.016,280.1,65.51,63.72,-0.294,-0.69,-0.985,"1,001",1,,2007,"$264,149 ",AUS
140,Paul Goydos,60,70.807,272.4,68.83,59.42,0.37,-0.177,0.193,"5,665",1,1,2007,"$1,229,355 ",USA
141,Paul Stankowski,52,71.427,295.7,60.03,63.19,-0.159,-0.19,-0.349,"1,288",,,2007,"$282,389 ",USA
142,Peter Lonard,85,70.611,290.9,66.7,64.61,-0.179,0.32,0.141,"4,764",3,,2007,"$1,259,881 ",AUS
143,Phil Mickelson,73,69.456,298.1,56.94,64.95,0.156,1.441,1.597,"27,394",7,3,2007,"$5,819,988 ",USA
144,Retief Goosen,50,70.297,292.9,53.55,58.91,-0.02,0.225,0.206,"3,796",1,,2007,"$1,044,386 ",RSA
145,Rich Barcelo,80,71.659,286,58.07,63.11,0.435,-0.857,-0.422,"1,217",1,,2007,"$334,244 ",USA
146,Rich Beem,89,71.036,291,65.25,64.36,0.027,0.228,0.254,"3,987",2,,2007,"$868,658 ",USA
147,Richard Johnson,93,71.555,281.1,65.56,64.65,0.24,-0.638,-0.398,"1,294",,,2007,"$377,951 ",SWE
148,Robert Allenby,90,70.462,299.6,60.85,68.29,-0.364,1.034,0.67,"10,470",8,,2007,"$2,219,538 ",AUS
149,Robert Gamez,88,71.629,281.2,69.28,65.81,-0.215,-0.197,-0.413,"1,217",3,,2007,"$693,464 ",USA
150,Robert Garrigus,95,71.358,310.5,52.86,67.02,-0.062,0.08,0.018,"4,441",4,,2007,"$1,260,010 ",USA
151,Rocco Mediate,72,70.998,278.1,67.76,64.89,-0.041,0.249,0.208,"5,271",3,,2007,"$1,166,294 ",USA
152,Rod Pampling,92,70.335,286.4,63.33,65.12,0.01,0.638,0.649,"6,180",2,,2007,"$1,475,970 ",AUS
153,Rory Sabbatini,81,69.741,289.9,59.14,61.6,0.549,0.716,1.265,"21,491",10,1,2007,"$4,550,040 ",RSA
154,Ryan Armour,107,71.048,284.7,70.31,66.29,0.129,-0.165,-0.036,"2,705",3,,2007,"$862,979 ",USA
155,Ryan Moore,92,70.7,290.7,64,65.64,0.133,0.355,0.488,"6,171",3,,2007,"$1,554,901 ",USA
156,Ryan Palmer,91,71.68,294.9,57.92,63.8,0.102,-0.296,-0.194,"2,142",1,,2007,"$524,988 ",USA
157,Ryuji Imada,104,70.952,282.6,58.77,62.72,0.474,-0.214,0.26,"6,071",2,,2007,"$1,414,864 ",JPN
158,Scott Gutschewski,67,71.994,306.1,55.96,62.7,0.03,-0.866,-0.837,870,,,2007,"$252,179 ",USA
159,Scott Verplank,82,69.693,279.6,71.42,64.33,-0.236,1.179,0.943,"13,403",10,1,2007,"$3,114,289 ",USA
160,Sean O'Hair,98,70.19,296.8,64.71,67.12,0.18,0.972,1.152,"6,292",5,,2007,"$1,921,226 ",USA
161,Sergio Garcia,68,69.481,294.2,56.28,64.56,0.269,1.192,1.461,"15,824",7,,2007,"$3,721,185 ",ESP
162,Shaun Micheel,91,70.964,284.4,67.72,66.04,-0.027,0.393,0.366,"3,263",3,,2007,"$948,195 ",USA
163,Shigeki Maruyama,84,71.175,277.7,63.02,60.98,0.396,-0.461,-0.065,"1,942",2,,2007,"$951,288 ",JPN
164,Stephen Ames,81,70.09,282.2,67.07,64.94,0.251,0.33,0.58,"5,100",4,1,2007,"$2,103,426 ",CAN
165,Stephen Leaney,82,70.82,277.4,65.82,68.43,0.219,0.193,0.412,"4,596",2,,2007,"$1,015,200 ",AUS
166,Steve Allan,63,70.873,302.4,60.05,64.78,0.259,-0.015,0.244,"2,479",1,,2007,"$568,059 ",AUS
167,Steve Elkington,87,70.532,280.7,71.84,63.05,0.324,0.505,0.83,"3,965",2,,2007,"$911,875 ",AUS
168,Steve Flesch,100,70.958,287.5,63.56,65.83,-0.244,0.252,0.007,"5,314",3,2,2007,"$2,288,899 ",USA
169,Steve Lowery,74,71.573,292,63.33,66.29,-0.086,-0.144,-0.23,"1,536",1,,2007,"$502,622 ",USA
170,Steve Marino,106,70.954,298.1,60.71,66.07,-0.189,0.363,0.175,"5,017",4,,2007,"$1,179,165 ",USA
171,Steve Stricker,81,69.394,283.7,63.73,65.83,0.322,1.164,1.486,"25,126",9,1,2007,"$4,663,077 ",USA
172,Steve Wheatcroft,73,72.138,286.1,66.29,64.25,-0.153,-0.726,-0.879,429,,,2007,"$153,246 ",USA
173,Stewart Cink,91,70.133,294.7,56.47,66.16,0.412,0.256,0.668,"10,227",6,,2007,"$2,483,146 ",USA
174,Stuart Appleby,74,70.477,290.9,60.43,61.57,-0.037,0.376,0.339,"7,189",3,,2007,"$1,803,385 ",AUS
175,Tag Ridings,52,71.435,303.9,57.1,62.78,0.605,-0.674,-0.069,416,1,,2007,"$351,590 ",USA
176,Ted Purdy,102,71.36,294.1,64.31,67.23,-0.37,0.2,-0.17,"3,056",1,,2007,"$758,734 ",USA
177,Tiger Woods,63,67.794,302.4,59.83,71.02,0.712,2.38,3.092,"53,607",12,7,2007,"$10,867,052 ",USA
178,Tim Clark,66,69.877,278.1,68.95,61.37,0.695,0.293,0.988,"10,817",6,,2007,"$2,615,152 ",RSA
179,Tim Herron,98,70.509,287.3,61.78,64.6,0.092,0.362,0.454,"3,289",1,,2007,"$951,200 ",USA
180,Tim Petrovic,106,70.879,286.4,60.22,62.89,0.29,-0.175,0.115,"4,642",1,,2007,"$1,052,447 ",USA
181,Todd Hamilton,76,72.933,288.7,57.06,56.94,0.032,-1.585,-1.554,358,,,2007,"$109,776 ",USA
182,Tom Byrum,50,72.018,281.4,71.75,65.16,-0.077,-0.765,-0.842,792,,,2007,"$201,508 ",USA
183,Tom Johnson,74,71.865,288.4,64.57,64.51,-0.372,-0.443,-0.815,826,,,2007,"$190,926 ",USA
184,Tom Lehman,62,70.667,284.6,64.01,68.19,-0.355,0.656,0.302,"3,702",3,,2007,"$880,824 ",USA
185,Tom Pernice Jr.,104,70.659,281.4,66.83,61.86,0.324,0.313,0.637,"3,679",2,,2007,"$927,408 ",USA
186,Tommy Armour III,81,71.133,285.7,70.17,69.84,0.019,0.138,0.157,"2,973",2,,2007,"$919,134 ",USA
187,Trevor Immelman,74,70.731,286.6,64.85,65.52,-0.253,0.735,0.482,"6,931",4,,2007,"$1,801,647 ",RSA
188,Tripp Isenhour,86,71.635,287.1,64.37,60.57,0.161,-0.675,-0.514,"2,099",1,,2007,"$471,980 ",USA
189,Troy Matteson,87,70.951,296.6,59.92,63.54,0.169,0.147,0.316,"6,502",3,,2007,"$1,282,421 ",USA
190,Vaughn Taylor,91,70.561,283.6,64.2,64.18,0.237,0.269,0.506,"5,447",3,,2007,"$1,313,353 ",USA
191,Vijay Singh,102,69.489,293.8,59.66,66.22,-0.023,1.402,1.379,"21,193",7,2,2007,"$4,728,376 ",FIJ
192,Will MacKenzie,100,70.718,291.4,62.11,66.17,-0.173,0.516,0.342,"4,831",3,,2007,"$1,116,507 ",USA
193,Woody Austin,95,70.419,286.1,63.32,65.5,-0.208,0.527,0.319,"13,240",3,1,2007,"$2,887,596 ",USA
194,Zach Johnson,76,69.906,280.4,73.05,64.44,0.659,0.415,1.074,"19,214",5,2,2007,"$3,922,338 ",USA
195,Aaron Baddeley,76,70.196,290.3,59.45,62.02,0.762,0.123,0.885,"11,250",3,,2008,"$1,665,587 ",AUS
196,Adam Scott,51,70.06,302.1,54.66,63.72,-0.44,1.299,0.859,"11,777",3,1,2008,"$1,979,160 ",AUS
197,Alejandro Cañizares,52,71.151,287.1,62.36,62.37,0.1,-0.527,-0.426,497,,,2008,"$162,115 ",ESP
198,Alex Cejka,75,71.096,282.7,65.42,63.12,-0.444,0.434,-0.01,"3,802",4,,2008,"$893,998 ",GER
199,Andres Romero,69,70.816,299.1,52.83,58.79,0.008,-0.414,-0.406,"15,609",3,1,2008,"$2,064,612 ",ARG
200,Anthony Kim,81,69.279,300.9,58.34,65.78,0.362,1.117,1.479,"30,847",8,2,2008,"$4,656,265 ",USA
201,Bart Bryant,81,70.205,279.5,73.87,64.88,-0.004,0.693,0.689,"11,356",2,,2008,"$1,719,153 ",USA
202,Ben Crane,86,70.155,287.8,67.64,65.76,0.745,0.135,0.88,"10,578",4,,2008,"$1,488,505 ",USA
203,Ben Curtis,80,69.981,284.7,67.2,63.45,0.321,0.44,0.761,"20,956",5,,2008,"$2,615,798 ",USA
204,Bill Haas,99,70.638,296.7,59.95,68.07,0.09,0.3,0.391,"7,384",2,,2008,"$1,000,939 ",USA
205,Billy Andrade,71,71.967,283.3,59.35,63.52,-0.311,-0.653,-0.963,949,,,2008,"$243,490 ",USA
206,Billy Mayfair,103,70.512,284,72.16,68.12,-0.228,0.605,0.377,"16,805",4,,2008,"$1,750,683 ",USA
207,Bo Van Pelt,101,70.956,292,62.06,67.3,-0.149,0.13,-0.019,"7,006",1,,2008,"$903,967 ",USA
208,Bob Estes,90,70.742,282.6,66.48,68.69,0.146,0.352,0.498,"2,423",2,,2008,"$829,395 ",USA
209,Bob Sowards,61,71.967,287.9,60.89,63.43,0.101,-0.948,-0.847,920,1,,2008,"$263,327 ",USA
210,Bob Tway,70,70.262,279.2,67.34,67.36,0.822,0.09,0.912,"2,615",1,,2008,"$785,641 ",USA
211,Boo Weekley,86,70.414,291.7,64.75,67.87,-0.498,1.048,0.55,"14,342",5,1,2008,"$2,398,751 ",USA
212,Brad Adamonis,87,71.079,289.9,58.1,65.86,-0.332,0.132,-0.2,"3,707",3,,2008,"$862,413 ",USA
213,Brad Elder,67,71.547,289.8,61.67,64.94,0.267,-0.673,-0.406,212,1,,2008,"$270,365 ",USA
214,Brandt Jobe,52,71.078,298.8,56.35,66.45,-0.107,-0.117,-0.224,940,,,2008,"$293,214 ",USA
